ID;Life Cycle Stage;Activity;Release to Air - Worst case (Guidenano);Release to air (ART);Ponderation;Related to input/output;Percentage related to
124;Life cycle stage 3: use phase;Use of articles with low release (indoor);0.05%;n.a.;0.0005;n.a.;n.a.
125;Life cycle stage 3: use phase;Use of articles with high release (indoor);100%;n.a.;1;n.a.;n.a.
126;Life cycle stage 3: use phase;Use of polymeric nanocomposites (outdoors);0.05%;n.a.;0.0005;n.a.;n.a.
127;Life cycle stage 3: use phase;Use of articles with no release of NM (closed systems, e.g. batteries, or diesel filter inside cars);0%;n.a.;0;n.a.;n.a.
128;Life cycle stage 3: use phase;Use of textiles (washing + wearing);0.05%;n.a.;0.0005;n.a.;n.a.
129;Life cycle stage 3: use phase;Use of packaging materials;0.05%;n.a.;0.0005;n.a.;n.a.
130;Life cycle stage 3: use phase;Use of paints (outdoor walls);0.05%;n.a.;0.0005;n.a.;n.a.
131;Life cycle stage 3: use phase;Use of cosmetics;0.05%;n.a.;0.0005;n.a.;n.a.
132;Life cycle stage 3: use phase;Use of antifouling paints (aquatic);0.05%;n.a.;0.0005;n.a.;n.a.
133;Life cycle stage 3: use phase;Use of photocatalytic coatings on roads (outdoors);0.05%;n.a.;0.0005;n.a.;n.a.
134;Life cycle stage 3: use phase;Use of childrenÂ´s toys;0.05%;n.a.;0.0005;n.a.;n.a.
135;Life cycle stage 3: use phase;Use of pest control products;0.05%;n.a.;0.0005;n.a.;n.a.
136;Life cycle stage 4: end-of-life;Soldering;20%;n.a.;0.2;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
137;Life cycle stage 4: end-of-life;Crushing concrete;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
138;Life cycle stage 4: end-of-life;Jack hammering;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
139;Life cycle stage 4: end-of-life;Pulverizing;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
140;Life cycle stage 4: end-of-life;Sawing using a circular saw;20%;n.a.;0.2;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
141;Life cycle stage 4: end-of-life;(Manuel) milling;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
142;Life cycle stage 4: end-of-life;Sanding;20%;n.a.;0.2;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
143;Life cycle stage 4: end-of-life;(Cut-off) grinding of steel;20%;n.a.;0.2;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
144;Life cycle stage 4: end-of-life;Drilling;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
145;Life cycle stage 4: end-of-life;Buffing;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
146;Life cycle stage 4: end-of-life;Polishing;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surfaceÃ§
147;Life cycle stage 4: end-of-life;Chiseling;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
148;Life cycle stage 4: end-of-life;Cutting;20%;n.a.;0.2;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
149;Life cycle stage 4: end-of-life;Logging;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
150;Life cycle stage 4: end-of-life;Demolishing with wrecking ball;20%;n.a.;0.2;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
151;Life cycle stage 4: end-of-life;Wrecking;20%;n.a.;0.2;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
152;Life cycle stage 4: end-of-life;Shredding of bateries;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
153;Life cycle stage 4: end-of-life;Wire drawing;0.05%;n.a.;0.0005;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
154;Life cycle stage 4: end-of-life;Cold rolling of metal sheets;0.05%;n.a.;0.0005;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
155;Life cycle stage 4: end-of-life;Scraping;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
156;Life cycle stage 4: end-of-life;Woodworking;2.50%;n.a.;0.025;output;The percentage is related to the surface treated and the amount of NM incorperated in that surface
157;Life cycle stage 4: end-of-life;Incineration;100%;0.00%;1;input;Percentage is dependant on the amount of materials incinerated.
158;Life cycle stage 4: end-of-life;Grit blasting;na;20%;0.2;output;Percentage is related to the contamination of the object, and the amount of NM released to air as a consequence of the activity
159;Life cycle stage 4: end-of-life;(ultra) High pressure (sand)blasting for stripping paint;na;20%;0.2;output;Percentage is related to the contamination of the object, and the amount of NM released to air as a consequence of the activity
160;Life cycle stage 4: end-of-life;Water cutting;na;20%;0.2;output;Percentage is related to the contamination of the object, and the amount of NM released to air as a consequence of the activity
161;Life cycle stage 4: end-of-life;Welding;na;20%;0.2;output;Percentage is related to the contamination of the object, and the amount of NM released to air as a consequence of the activity
162;Any of the above;Any of the above;na;na;na;output;na
